0.1,0.14514,0.21501,0.32098,0.47299,0.69248,0.97069,1.30866,1.70315,2.12164,2.54323,2.93578,3.28956,3.66363,4.11879,4.66632,5.2956,6.0435,6.86766,7.82112,8.9422,10.14418,11.36923,12.55385
0.1,0.15179,0.23376,0.35613,0.54045,0.78297,1.08384,1.44257,1.82634,2.2182,2.58971,2.92304,3.27801,3.71359,4.23738,4.84128,5.54468,6.30081,7.17558,8.20412,9.3069,10.43083,11.51768,12.53327
0.1,0.15883,0.25135,0.39813,0.6009,0.86048,1.17664,1.52197,1.87804,2.22108,2.53371,2.86496,3.27297,3.76788,4.34064,5.01379,5.70986,6.50259,7.43466,8.43401,9.45252,10.43744,11.35777,12.3637
0.1,0.16444,0.27349,0.43372,0.64889,0.91848,1.22124,1.53986,1.84914,2.13837,2.44867,2.82839,3.2917,3.83088,4.46838,5.13077,5.85118,6.68989,7.58912,8.50561,9.39186,10.22,11.12516,12.26237
0.1,0.17489,0.29409,0.46308,0.68435,0.94081,1.21821,1.49444,1.7543,2.03738,2.3892,2.819,3.32074,3.92048,4.5482,5.22349,5.97627,6.77958,7.59831,8.39002,9.12982,9.93842,10.95433,12.2309
0.1,0.17917,0.30095,0.46994,0.67536,0.90563,1.14217,1.36959,1.61967,1.93124,2.31862,2.77949,3.3329,3.92427,4.56425,5.26331,5.97384,6.69527,7.39288,8.04476,8.75726,9.65243,10.77729,12.14091
0.1,0.17947,0.29847,0.45202,0.63234,0.82429,1.01526,1.22987,1.50326,1.84466,2.25664,2.76047,3.30734,3.90429,4.56023,5.21619,5.85083,6.46046,7.03012,7.65276,8.43503,9.41801,10.60965,12.10314
0.1,0.17672,0.28353,0.41696,0.56611,0.72016,0.8981,1.12928,1.42436,1.78502,2.23617,2.73465,3.28674,3.89423,4.50707,5.10197,5.64351,6.14114,6.68504,7.36839,8.22707,9.26802,10.57265,12.01445
0.1,0.16887,0.26105,0.37024,0.48841,0.62987,0.81829,1.06632,1.37714,1.77344,2.2215,2.72453,3.28199,3.85218,4.4045,4.91154,5.35601,5.83083,6.42685,7.17581,8.08375,9.22168,10.47924,11.93412
0.1,0.16129,0.23842,0.32619,0.43569,0.58633,0.79033,1.05346,1.39984,1.80109,2.25669,2.77041,3.29793,3.81188,4.28622,4.70847,5.14865,5.68211,6.34428,7.14701,8.15308,9.26492,10.5512,12.0636
0.1,0.15268,0.21601,0.29817,0.41575,0.58104,0.80169,1.10011,1.45699,1.87138,2.33983,2.82796,3.30812,3.75271,4.14893,4.56761,5.07517,5.67765,6.39603,7.29638,8.29139,9.44252,10.79601,12.24717
0.1,0.14495,0.20611,0.29712,0.43005,0.61337,0.86934,1.18487,1.55845,1.98956,2.44029,2.89033,3.30975,3.68289,4.07725,4.55765,5.13096,5.78804,6.60281,7.50323,8.54494,9.76977,11.08299,12.42141
